,CUW1,CUW2,CUW3,CUW4,CUW5,CUW6,CUW7,,,CUW10,CUW11,CUW12,CUW13,CUW14,,,CUW17,,CUW19,CUW20
,,CIV2,CIV3,CIV4,CIV5,CIV6,CIV7,,CIV9,CIV10,CIV11,,CIV13,CIV14,CIV15,CIV16,CIV17,,CIV19,CIV20
,ECU1,ECU2,,ECU4,ECU5,ECU6,ECU7,ECU8,ECU9,ECU10,ECU11,,,ECU14,ECU15,ECU16,ECU17,ECU18,ECU19,ECU20
,NED1,NED2,NED3,,NED5,NED6,NED7,NED8,NED9,NED10,NED11,NED12,NED13,NED14,NED15,,,,NED19,
,JPN1,JPN2,JPN3,JPN4,JPN5,JPN6,JPN7,JPN8,JPN9,JPN10,JPN11,JPN12,,JPN14,,JPN16,JPN17,JPN18,,JPN20
,SWE1,,SWE3,,SWE5,,SWE7,,,,,,SWE13,,,SWE16,SWE17,SWE18,SWE19,SWE20
,TUN1,,TUN3,TUN4,TUN5,TUN6,TUN7,TUN8,TUN9,,,TUN12,TUN13,TUN14,,,TUN17,TUN18,,TUN20
,BEL1,BEL2,BEL3,BEL4,BEL5,BEL6,BEL7,,BEL9,BEL10,BEL11,BEL12,,BEL14,BEL15,BEL16,BEL17,BEL18,BEL19,BEL20
,EGY1,EGY2,EGY3,EGY4,EGY5,EGY6,EGY7,EGY8,EGY9,EGY10,EGY11,EGY12,EGY13,EGY14,EGY15,EGY16,EGY17,EGY18,EGY19,EGY20
,,IRN2,IRN3,IRN4,IRN5,IRN6,IRN7,IRN8,IRN9,IRN10,IRN11,IRN12,,IRN14,IRN15,IRN16,IRN17,IRN18,IRN19,IRN20
,NZL1,NZL2,NZL3,NZL4,NZL5,NZL6,NZL7,,NZL9,NZL10,NZL11,,,NZL14,NZL15,NZL16,NZL17,NZL18,NZL19,NZL20
,,ESP2,ESP3,ESP4,,ESP6,ESP7,ESP8,ESP9,ESP10,ESP11,,,ESP14,ESP15,ESP16,ESP17,ESP18,ESP19,ESP20
,CPV1,CPV2,CPV3,CPV4,CPV5,CPV6,CPV7,CPV8,CPV9,CPV10,CPV11,CPV12,,CPV14,CPV15,CPV16,,CPV18,CPV19,CPV20
,,,KSA3,KSA4,KSA5,,KSA7,KSA8,KSA9,,KSA11,KSA12,,KSA14,,KSA16,KSA17,KSA18,KSA19,
,URU1,,URU3,,,,URU7,,URU9,URU10,URU11,,URU13,URU14,URU15,URU16,URU17,URU18,,URU20
,FRA1,,FRA3,FRA4,FRA5,FRA6,FRA7,FRA8,FRA9,FRA10,FRA11,FRA12,FRA13,FRA14,FRA15,,FRA17,FRA18,FRA19,FRA20
,SEN1,,SEN3,SEN4,,SEN6,,SEN8,SEN9,SEN10,,SEN12,SEN13,SEN14,SEN15,SEN16,SEN17,SEN18,SEN19,SEN20
,,IRQ2,,IRQ4,IRQ5,,,IRQ8,IRQ9,IRQ10,,IRQ12,,IRQ14,,,IRQ17,IRQ18,,
,NOR1,NOR2,,NOR4,,,,,NOR9,,NOR11,NOR12,NOR13,NOR14,NOR15,NOR16,NOR17,NOR18,NOR19,NOR20
,ARG1,ARG2,,,,ARG6,ARG7,ARG8,ARG9,ARG10,ARG11,ARG12,ARG13,ARG14,ARG15,ARG16,ARG17,ARG18,ARG19,ARG20
,,ALG2,ALG3,ALG4,ALG5,,ALG7,ALG8,ALG9,ALG10,ALG11,ALG12,,ALG14,ALG15,ALG16,ALG17,ALG18,ALG19,
,AUT1,,AUT3,AUT4,AUT5,AUT6,AUT7,,AUT9,AUT10,AUT11,,AUT13,AUT14,AUT15,AUT16,AUT17,AUT18,AUT19,AUT20
,JOR1,JOR2,JOR3,JOR4,JOR5,JOR6,JOR7,JOR8,JOR9,JOR10,JOR11,JOR12,,JOR14,JOR15,JOR16,JOR17,JOR18,JOR19,JOR20
,POR1,POR2,POR3,POR4,POR5,POR6,POR7,POR8,POR9,POR10,POR11,POR12,,POR14,POR15,POR16,POR17,,POR19,
,,,,COD4,COD5,,,,COD9,,COD11,,COD13,COD14,,COD16,,COD18,,
,UZB1,UZB2,UZB3,,,UZB6,UZB7,,,,UZB11,,,,,UZB16,UZB17,,UZB19,
,,COL2,,COL4,COL5,COL6,COL7,COL8,COL9,,COL11,COL12,,,COL15,COL16,,,COL19,COL20
,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ENG7,ENG8,ENG9,ENG10,ENG11,ENG12,,ENG14,ENG15,ENG16,ENG17,ENG18,ENG19,ENG20
,CRO1,CRO2,CRO3,CRO4,CRO5,CRO6,CRO7,CRO8,CRO9,CRO10,CRO11,CRO12,CRO13,CRO14,,,CRO17,CRO18,,CRO20
,GHA1,GHA2,GHA3,,GHA5,GHA6,GHA7,GHA8,GHA9,GHA10,GHA11,GHA12,GHA13,GHA14,GHA15,GHA16,GHA17,GHA18,GHA19,GHA20
,PAN1,,PAN3,PAN4,PAN5,PAN6,PAN7,PAN8,PAN9,,PAN11,PAN12,PAN13,PAN14,PAN15,PAN16,PAN17,PAN18,PAN19,PAN20
,,,,,,FWC14,,,FWC17,,,,,,,,,,,
,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,,,,,,
